#,Mod名,mod_id,jar,版本,作者,仓库,置信,依据,其他候选,已反编译,代码行数,卡片
11,BoxDeco,boxdeco,boxdeco-1.0.0.jar,1.0.0,Zbx1425,https://github.com/zbx1425/BoxDeco,默认采信,候选默认采信（名称匹配，未经作者声明）,zbx1425/BoxDeco(5),Y,638,boxdeco-1.0.0.md
12,Cauldron++,cauldronpp,cauldronpp-1.0.2.jar,1.0.2,redColmula55,https://github.com/redColmula55/cauldronpp-neoforge,高,jar 元数据声明,,Y,2530,cauldronpp-1.0.2.md
13,Caupona,caupona,Caupona-26.1.2-6.1.4.jar,${file.jarVersion},"[TeamMoeg] khjxiaogu, Lyuuke",https://github.com/TeamMoegMC/Caupona,高,jar 元数据声明,,Y,22773,Caupona-26.1.2-6.1.4.md
14,Channel,channel,channel-26.1.2-39+beta.jar,26.1.2-39+beta,"USS_Shenzhou, MalayP",,,候选疑似无关（保留在候选列）,ltaoo/wx_channels_download(3)；ltaoo/wx_channels_download(3); django/channels(3); andrew--r/channels(3),Y,10788,channel-26.1.2-39+beta.md
15,chatbox,chatbox,chatbox-26.1.2-1.1.4.jar,1.1.4,", zhenshiz, Amotassic",https://github.com/zhenshiz/chatbox,高,jar 元数据声明,,Y,8782,chatbox-26.1.2-1.1.4.md
16,ChromeBall NeoForge 26.1.2,chromeball,ChromeBall-NeoForge-26.1.2-0.8.1.jar,0.8.1,jihuayu,https://github.com/teaconmc/ChromeBall,高,组织仓库,,Y,310,ChromeBall-NeoForge-26.1.2-0.8.1.md
17,Cloth Config,cloth_config,cloth-config-26.1.154.jar,26.1.154,shedaniel,https://github.com/shedaniel/ClothConfig,高,人工确认(知名 mod 上游),,Y,37252,cloth-config-26.1.154.md
18,CommandConfirm NeoForge 26,commandconfirm,CommandConfirm-NeoForge-26-1.2.1.jar,1.2.1,,https://github.com/teaconmc/CommandConfirm,高,组织仓库,,Y,142,CommandConfirm-NeoForge-26-1.2.1.md
19,continuity,continuity,continuity-3.0.1-0.0.8.jar,3.0.1-0.0.8,"Argon4W, PepperCode1",https://github.com/Argon4W/NeoContinuity,高,jar 元数据声明,,Y,7963,continuity-3.0.1-0.0.8.md
20,Craton（克拉通）,craton,Craton-26.1.2-neoforge-0.1.jar,0.1,,https://github.com/craton-co/craton-hsm-core,默认采信,候选默认采信（名称匹配，未经作者声明）,craton-co/craton-hsm-core(4),Y,2185,Craton-26.1.2-neoforge-0.1.md
21,Crock Pot,crockpot,CrockPot-26.1.2-0.1.0-beta.jar,0.1.0,"Si_hen,idyllicbean,Whyte_V,MalayP,SeraphJack",https://github.com/SihenZhang/CrockPot,高,jar 元数据声明,,Y,11906,CrockPot-26.1.2-0.1.0-beta.md
22,Curios API,curios,curios-neoforge-15.0.0-beta.2+26.1.2.jar,15.0.0-beta.2+26.1.2,C4,https://github.com/TheIllusiveC4/Curios,高,jar 元数据声明,,Y,10503,curios-neoforge-15.0.0-beta.2+26.1.2.md
23,diagonal fences,diagonalfences,diagonal-fences-26.1.0.jar,26.1.0,"Fuzs, XFactHD",https://github.com/Fuzss/diagonal-fences,高,jar 元数据声明,,Y,79,diagonal-fences-26.1.0.md
24,Distant Horizons,distanthorizons,DistantHorizons-3.2.0-b-26.1.2-fabric-neoforge.jar,3.2.0-b,Massive thanks to all the developers for their har,https://gitlab.com/distant-horizons-team/distant-horizons,高,人工确认(知名 mod 上游),,Y,109422,DistantHorizons-3.2.0-b-26.1.2-fabric-neoforge.md
25,enchanted vertical slabs,evs,enchanted-vertical-slabs-EUlKZFNN.jar,2.6.6,", Enchanted_Games",https://github.com/Enchanted-Games/enchanted-vertical-slabs,高,jar 元数据声明,,Y,1044,enchanted-vertical-slabs-EUlKZFNN.md
26,ferrite core,ferritecore,ferrite-core-9.0.0-neoforge.jar,9.0.0,malte0811,https://github.com/malte0811/FerriteCore,高,Modrinth（ferrite-core）,,Y,1801,ferrite-core-9.0.0-neoforge.md
27,GeckoLib,geckolib,geckolib-neoforge-26.1.2-5.5.1.jar,5.5.1,"Tslat, Zigy, Witixin, Gecko",https://github.com/bernie-g/geckolib,高,jar 元数据声明,,Y,17818,geckolib-neoforge-26.1.2-5.5.1.md
28,Girlfriends,girlfriends,girlfriends-0.1.0+mc26.1.2.jar,0.1.0+mc26.1.2,"Hexagram, Liu Dongyu",https://github.com/Viola-Siemens/Girlfriends,高,jar 元数据声明,,Y,9393,girlfriends-0.1.0+mc26.1.2.md
29,Grack,grack,grack-0.1.jar,0.1,MaxPixelStudios(XiaoPangxie732),,,候选疑似无关（保留在候选列）,schacon/grack(4)；schacon/grack(4); grackorg/grack(4); hayesdavis/grackle(0),Y,783,grack-0.1.md
30,guide_me_to,guide_me_to,guide_me_to-26.1.2-6.jar,26.1.2-6,USS_Shenzhou,https://github.com/teaconmc/GuideMeTo,高,组织仓库,,Y,2368,guide_me_to-26.1.2-6.md
31,guideme,guideme,guideme-26.1.12-beta.jar,26.1.12-beta,shartte,https://github.com/AppliedEnergistics/GuideME,高,jar 元数据声明,,Y,175431,guideme-26.1.12-beta.md
32,hotbaaaar,hotbaaaar,hotbaaaar-26.1.2-2.jar,26.1.2-2,USS_Shenzhou,https://github.com/teaconmc/HotBaaaar,高,组织仓库,,Y,353,hotbaaaar-26.1.2-2.md
33,Iris Shaders,iris,iris-neoforge-1.10.9+mc26.1.1.jar,1.10.9+mc26.1.1,"coderbot, IMS212",https://github.com/IrisShaders/Iris,高,jar 元数据声明,,Y,52431,iris-neoforge-1.10.9+mc26.1.1.md
34,jecharacters NeoForge 26.1.2,jecharacters,jecharacters-NeoForge-26.1.2-26.0.9.jar,4.6.3,"Thanks to TartaricAcid, 3TUSK, Seraph_JACK, Snowne",https://github.com/Towdium/JustEnoughCharacters,高,jar 元数据声明,,Y,935,jecharacters-NeoForge-26.1.2-26.0.9.md
35,jei,jei,jei-9G0iRx9i.jar,29.21.0.66,mezz,https://github.com/mezz/JustEnoughItems,高,jar 元数据声明,,Y,50479,jei-9G0iRx9i.md
36,KilaGraph,kilagraphdemo,kilagraphdemo-neoforge-26.1-26.1.0.3.jar,26.1.0.3,KilaBash,https://github.com/Low-Drag-MC/KilaGraph,中,组织仓库（同族/父项目）,,Y,12591,kilagraphdemo-neoforge-26.1-26.1.0.3.md
37,Kiwi NeoForge 26.1.2,kiwi,Kiwi-NeoForge-26.1.2-26.0.9.jar,${file.jarVersion},"Snownee, 3TUSK, SettingDust",https://github.com/Snownee/Kiwi,高,人工确认(知名 mod 上游),,Y,42898,Kiwi-NeoForge-26.1.2-26.0.9.md
38,Kotlin For Forge,,kotlinforforge-6.2.0-all.9114aa0f.jar,,,https://github.com/thedarkcolour/KotlinForForge,高,人工确认(知名 mod 上游),,Y,0,kotlinforforge-6.2.0-all.9114aa0f.md
39,Lights up(舞台灯光),lights_up,lights_up-1.0.0.jar,1.0.0,,,,候选疑似无关（保留在候选列）,Philip-Scott/Lights-Up(4)；Philip-Scott/Lights-Up(4); MagicCube/lights-up(4); JozefJarosciak/Lightsail-Backup-and-Clean-Up-Shell-Script(0),Y,1149,lights_up-1.0.0.md
40,LiveHelper,live_helper,live_helper-1.0.0-all.jar,1.0.0,Burning_TNT,,,,pandaGao/bilibili-live-helper(3); EYHN/hexo-helper-live2d(0); ifeng0188/GenshinLiveStreamHelper(0),Y,68627,live_helper-1.0.0-all.md
41,LowDragLib2,ldlib2,ldlib2-neoforge-26.1-26.1.2.31.jar,26.1.2.31,KilaBash,https://github.com/Low-Drag-MC/LDLib2,高,jar 元数据声明,,Y,136359,ldlib2-neoforge-26.1-26.1.2.31.md
42,LuckPerms NeoForge,luckperms,LuckPerms-NeoForge-5.5-20260902.124952-3-all.jar,5.5.54,"Luck, Luck",https://github.com/LuckPerms/LuckPerms,高,jar 元数据声明,,Y,4686,LuckPerms-NeoForge-5.5-20260902.124952-3-all.md
43,MadParticle,madparticle,madparticle-26.1.2-13.jar,26.1.2-13,USS_Shenzhou,https://github.com/USS-Shenzhou/MadParticle,默认采信,候选默认采信（名称匹配，未经作者声明）,USS-Shenzhou/MadParticle(5),Y,8158,madparticle-26.1.2-13.md
44,Mekanism:More Machine,mekmm,mekmm-26.1.2-2.0.0.jar,2.0.0,"Lost Myself, Thank you to all those who have made ",https://github.com/lostmyself8/Mekanism-MoreMachine,高,jar 元数据声明,,Y,35999,mekmm-26.1.2-2.0.0.md
45,MinecartRevolution,minecartrevolution,minecartrevolution-1.0.1.jar,1.0.1,Ryan100C Liuyue_awa Mulatram_UwU Yakon0705,https://github.com/MinecartRevolution/MinecartRevolution,默认采信,候选默认采信（名称匹配，未经作者声明）,MinecartRevolution/MinecartRevolution(5),Y,16475,minecartrevolution-1.0.1.md
46,Minecraft Mod MCP,mcpmod,minecraft-moddev-mcp-neoforge-26.1.2-0.2.0.jar,0.2.0,langyo,,,,guangxiangdebizi/TradingAgents-MCPmode(3); guangxiangdebizi/AI-web-mcpmode(3); Boehringer-Ingelheim/BayesianMCPMod(3),Y,10680,minecraft-moddev-mcp-neoforge-26.1.2-0.2.0.md
47,Mino++,minopp,minopp-1.5.0+26.1.2-neoforge.jar,1.5.0+26.1.2-neoforge,"Zbx1425, MalayP",https://github.com/zbx1425/minopp,高,Modrinth（minopp）,,Y,7777,minopp-1.5.0+26.1.2-neoforge.md
48,modern ui,modernui,modern-ui-3.13.0.5.jar,3.13.0.5,BloCamLimb,https://github.com/BloCamLimb/ModernUI,高,jar 元数据声明,,Y,217092,modern-ui-3.13.0.5.md
49,Nature Rebirth,nature_rebirth,nature_rebirth-1.0.4.jar,1.0.4,"Nature Rebirth Team, gloomybanana",https://github.com/gloomybanana/nature_rebirth,默认采信,候选默认采信（名称匹配，未经作者声明）,gloomybanana/nature_rebirth(5),Y,2327,nature_rebirth-1.0.4.md
50,Neo ECO AE Extension,neoecoae,neoecoae-1.3.4.jar,1.3.4,"DancingSnow, ZhuRuoLing",https://github.com/DancingSnow0517/NeoECOAEExtension,高,jar 元数据声明,,Y,19430,neoecoae-1.3.4.md
51,NeoMTR 纸板箱特色我的世界铁路,mtr,NeoMTR-300.6.1+26.1.2.jar,300.6.1+26.1.2,Jonathan Ho & Zbx1425,https://github.com/LIEH-SAD/LIEH-SAD-NeoMTR,默认采信,候选默认采信（名称匹配，未经作者声明）,LIEH-SAD/LIEH-SAD-NeoMTR(4),Y,276804,NeoMTR-300.6.1+26.1.2.md
52,NeoMystiasIzakaya,neo_mystias_izakaya,neo_mystias_izakaya-neoforge-26.1.6.jar,26.1.6,"NeoMystiasIzakaya Team: Kaguya154, Crystal1921, SA",https://github.com/NeoMystiasIzakaya/NeoMystiasIzakaya,默认采信,补充搜索（score=5，★3）,,Y,19084,neo_mystias_izakaya-neoforge-26.1.6.md
53,NetherLink,netherlink,netherlink-26.1.2-neoforge-0.1.0-tc.jar,0.1.0-tc-beta,", MUYU_Twilighter",https://github.com/MUYUTwilighter/NetherLink,高,jar 元数据声明,,Y,14571,netherlink-26.1.2-neoforge-0.1.0-tc.md
54,NetMusic 网络音乐机,netmusic,netmusic-1.5.1-neoforge+mc26.1-all.jar,1.5.1-neoforge+mc26.1,"TartaricAcid, IMG, 郝南村, 琥珀酸, 帕金伊, SQwatermark",https://github.com/TartaricAcid/NetMusic,高,人工确认(知名 mod 上游),,Y,50554,netmusic-1.5.1-neoforge+mc26.1-all.md
55,NotEnoughBandwidth NeoForge 26.1,nebw,NotEnoughBandwidth-NeoForge-26.1-0.2.20.jar,0.2.20,TeaCon Team,https://github.com/teaconmc/NotEnoughBandwidth,高,组织仓库,,Y,7260,NotEnoughBandwidth-NeoForge-26.1-0.2.20.md
56,NotWaitingForServer,jade,NotWaitingForServer-26.1.8+neoforge.jar,${file.jarVersion},"Snownee, TehNut, ProfMobius, kalkafox",https://github.com/Snownee/Jade,高,人工确认(知名 mod 上游),,Y,26984,NotWaitingForServer-26.1.8+neoforge.md
57,nowaterupdate,nowaterupdate,nowaterupdate-26.1.2-1.jar,26.1.2-1,USS_Shenzhou,https://github.com/teaconmc/NoWaterUpdate,高,组织仓库,,Y,185,nowaterupdate-26.1.2-1.md
58,ObeliskDepths,obeliskdepths,ObeliskDepths-NeoForge-26.1.2.87-0.0.1-0.0.1.jar,0.0.1,,https://github.com/NaimJeg/ObeliskDepths,默认采信,补充搜索（score=5，★0）,,Y,46406,ObeliskDepths-NeoForge-26.1.2.87-0.0.1-0.0.1.md
59,Orga's AutoSprint,autosprint,autosprint-0.org-itk.0.1.jar,0.org-itk.0.1,luoxueyasha,,,候选疑似无关（保留在候选列）,sowahq/AutoSprint(5)；sowahq/AutoSprint(5); Zwuiix-cmd/AutoSprint(5); cngege/AutoSprint(5),Y,243,autosprint-0.org-itk.0.1.md
60,Phone Generator,phone_generator,phone_generator-1.0.0.jar,1.0.0,1,,,候选疑似无关（保留在候选列）,kinghacker0/phone-generator(4)；kinghacker0/phone-generator(4); Tusko-DK/Phone-generator(4); tlvince/phonegap-icon-splash-generator(0),Y,2270,phone_generator-1.0.0.md
61,Player Animation Library,player_animation_library,PlayerAnimationLibMerged-1.2.3+mc.26.1.jar,1.2.3+mc.26.1,"Zigy, dima_dencep",https://github.com/ZigyTheBird/PlayerAnimationLibrary,高,jar 元数据声明,,Y,8408,PlayerAnimationLibMerged-1.2.3+mc.26.1.md
62,PowerTool NeoForge 26.1,powertool,PowerTool-NeoForge-26.1-1.5.30.jar,1.5.30,IzzelAliz 3TUSK xkball,https://github.com/teaconmc/PowerTool,高,组织仓库,,Y,19140,PowerTool-NeoForge-26.1-1.5.30.md
63,ProjectMe 26.1.2,project_me,ProjectMe-26.1.2-0.5.0.jar,0.5.0,"Zbx1425, Burning_TNT",https://github.com/teaconmc/ProjectMe,高,组织仓库,,Y,1665,ProjectMe-26.1.2-0.5.0.md
64,puzzles lib,puzzleslib,puzzles-lib-26.1.11.jar,26.1.11,Fuzs,https://github.com/Fuzss/puzzles-lib,高,jar 元数据声明,,Y,27081,puzzles-lib-26.1.11.md
65,Shake n Stir,shakenstir,shakenstir-1.0.0.jar,1.0.0,hawah,,,候选疑似无关（保留在候选列）,RubenDguez/ShakenStirred(3)；RubenDguez/ShakenStirred(3); juanroldan1989/shaken_not_stirred(0); shakenstir/rootcerts(0),Y,35700,shakenstir-1.0.0.md
66,SignMeUp NeoForge 26.1,exhibition_portal,SignMeUp-NeoForge-26.1-1.1.12.jar,1.1.12,Thanks to JianmoOvO and MalaP for designing GUI te,https://github.com/teaconmc/SignMeUp,中,组织仓库（同族/父项目）,,Y,5510,SignMeUp-NeoForge-26.1-1.1.12.md
67,Sip Moment,sip_moment,sip_moment-1.0.0.jar,1.0.0,Renyigesai,,,,,Y,4041,sip_moment-1.0.0.md
68,SlideShow NeoForge 26.1.2,slide_show,SlideShow-NeoForge-26.1.2-0.10.11.jar,0.10.11,"3TUSK, BloCamLimb, ustc-zzzz",https://github.com/teaconmc/SlideShow,高,组织仓库,,Y,8556,SlideShow-NeoForge-26.1.2-0.10.11.md
69,Sodium,sodium,sodium-neoforge-0.8.12+mc26.1.2.jar,0.8.12+mc26.1.2,"JellySquid (jellysquid3), IMS212, bytzo, PepperCod",https://github.com/CaffeineMC/sodium,高,Modrinth（sodium）,,Y,2802,sodium-neoforge-0.8.12+mc26.1.2.md
70,spark,spark,spark-1.10.172-neoforge.jar,1.10.172,Luck,https://github.com/lucko/spark,高,Modrinth（spark）,,Y,142354,spark-1.10.172-neoforge.md
71,stoneworks,stoneworks,stoneworks-yI3EuefP.jar,26.1.0,Fuzs,https://github.com/Fuzss/stoneworks,高,jar 元数据声明,,Y,802,stoneworks-yI3EuefP.md
72,T88,t88,t88-26.1.2-1.jar,26.1.2-1,USS_Shenzhou,https://github.com/USS-Shenzhou/t88,默认采信,候选默认采信（名称匹配，未经作者声明）,USS-Shenzhou/t88(4),Y,8919,t88-26.1.2-1.md
73,TeasupFlavorRequest 26.1.2,teasupflavor,TeasupFlavorRequest-26.1.2-0.1.0+1.jar,0.1.0+1,Zbx1425,https://github.com/teaconmc/TeasupFlavorRequest,高,组织仓库,,Y,75,TeasupFlavorRequest-26.1.2-0.1.0+1.md
74,TetrachordLib,tetrachordlib,tetrachordlib-26.1+1.0.3.jar,26.1+1.0.3,"Hexagram, Liu Dongyu",https://github.com/Viola-Siemens/Tetrachord-Lib,高,jar 元数据声明,,Y,3415,tetrachordlib-26.1+1.0.3.md
75,ThatSkyInteractions,thatskyinteractions,thatskyinteractions-26.1.2-2.1.0-rc2.jar,2.1.0-rc2,Louis_Quepierts QuepiertsAndier,https://github.com/LouisQuepierts/ThatSkyInteractions,默认采信,补充搜索（score=6，★11）,buildin1/ThatSkyInteractions-Fabric(4),Y,22259,thatskyinteractions-26.1.2-2.1.0-rc2.md
76,ToadSync NeoForge 26.1.2,toad_sync,ToadSync-NeoForge-26.1.2-0.2.4.jar,0.2.4,ustc-zzzz,https://github.com/teaconmc/ToadSync,高,组织仓库,,Y,1928,ToadSync-NeoForge-26.1.2-0.2.4.md
77,Valorant,valorant,valorant-1.0.0.jar,1.0.0,StrangeSmell,,,候选疑似无关（保留在候选列）,techchrism/valorant-api-docs(3)；techchrism/valorant-api-docs(3); zayKenyon/VALORANT-rank-yoinker(3); Henrik-3/unofficial-valorant-api(3),Y,7306,valorant-1.0.0.md
78,VoteMe NeoForge 26.1.2,voteme,VoteMe-NeoForge-26.1.2-0.10.3.jar,0.10.3,"Yuri's Cat, 3TUSK, ustc-zzzz",https://github.com/teaconmc/VoteMe,高,组织仓库,,Y,172801,VoteMe-NeoForge-26.1.2-0.10.3.md
79,V我50,vw50,vw50-1.0.0.jar,1.0.0,"Glyceryl6, Zoshsgahdnkc",,,候选默认采信（名称匹配，未经作者声明）,https://github.com/kfc-vw5000/vw50（链接校验失败）；kfc-vw5000/vw50(4)；kfc-vw5000/vw50(4); lxc-kfc/vw50(4); shawnstudio-org/VW50(4),Y,3844,vw50-1.0.0.md
80,WorldEditCUI NeoForge 26.1.2,worldeditcui,WorldEditCUI-NeoForge-26.1.2-643d105.jar,26.1.2+02+SNAPSHOT,"lahwran, yetanotherx, Mumfrey, TomyLobo, mikroskee",https://github.com/EngineHub/WorldEditCUI,高,jar 元数据声明,,Y,5588,WorldEditCUI-NeoForge-26.1.2-643d105.md
81,x3d map,x3d_map,x3d_map-1.0.13.jar,1.0.13,xkball,,,候选疑似无关（保留在候选列）,PCV-X3D/Map_X3D(0)；PCV-X3D/Map_X3D(0); Jelfens/Elite-Dangerous-X3D-Button-Map(0),Y,14800,x3d_map-1.0.13.md
82,Xibao NeoForge 26.1,xibao,Xibao-NeoForge-26.1-5.0.2.jar,5.0.2,IzzelAliz,https://github.com/GregTaoo/Xibao-Plus-Plus,高,Modrinth（xibao-plus-plus）,,Y,90,Xibao-NeoForge-26.1-5.0.2.md
83,XKDeco NeoForge 26.1.2,xkdeco,XKDeco-NeoForge-26.1.2-2.0.0.2.jar,${file.jarVersion},"XeKr, Snownee, LittleBai, TeaConMC, ustc-zzzz, Luc",https://github.com/teaconmc/XKDeco,高,jar 元数据声明,,Y,3299,XKDeco-NeoForge-26.1.2-2.0.0.2.md
84,YetAnotherConfigLib (YACL),yet_another_config_lib_v3,yet_another_config_lib_v3-3.9.3+26.1-neoforge.efecea6b.jar,3.9.3+26.1-neoforge,isXander,https://github.com/isXander/YetAnotherConfigLib,高,Modrinth（yacl）,,Y,18317,yet_another_config_lib_v3-3.9.3+26.1-neoforge.efecea6b.md
85,万物皆可绳,super_lead,super_lead-0.4.9-beta.jar,0.4.9-beta,zhongbai233,https://github.com/zhongbai2333/Super-Lead,默认采信,候选默认采信（名称匹配，未经作者声明）,zhongbai2333/Super-Lead(5),Y,44492,super_lead-0.4.9-beta.md
86,中键标点,middle_key_ping,middle_key_ping-neoforge-26.1.2-2.0.0+pr.15.jar,2.0.0,Anvil-Dev,https://github.com/Anvil-Dev/MiddleKeyPing,高,组织仓库,,Y,1210,middle_key_ping-neoforge-26.1.2-2.0.0+pr.15.md
87,书信，信号，电话,letter_signal_phone,letter_signal_phone-1.0.0.jar,1.0.0,Royling,https://github.com/roylinglrl/letter-signal-phone,默认采信,候选默认采信（名称匹配，未经作者声明）,roylinglrl/letter-signal-phone(5),Y,10284,letter_signal_phone-1.0.0.md
88,以太工艺,ether_craft,ether_craft-0.4.1_mc26.1.2.jar,0.4.1,"xypp, Yuia",https://github.com/FantasyIT-Projects/ether-craft-neo,中,jar 内文档,,Y,34384,ether_craft-0.4.1_mc26.1.2.md
89,伊卡洛斯之翼,locusazzurro_icaruswings,locusazzurro_icaruswings-26.1.2-0.7.0.jar,26.1.2-0.7.0,"LocusAzzurro, Contributors on GitHub and all who s",https://github.com/LocusAzzurro/icaruswings_mod,高,jar 元数据声明,,Y,8839,locusazzurro_icaruswings-26.1.2-0.7.0.md
90,会饮,convivium,repo-26.1.2-3.0.jar,${file.jarVersion},"khjxiaogu, Lyuuke",https://github.com/khjxiaogu/Convivium,高,jar 元数据声明,,Y,14424,repo-26.1.2-3.0.md
91,伤害枢纽,damagenexus,damagenexus-0.1.0.jar,0.1.0,NaimJeg,https://github.com/NaimJeg/DamageNexus-NeoForge26.1.2,高,jar 元数据声明,,Y,39686,damagenexus-0.1.0.md
92,傀儡装配（Modular Golems）,modulargolems,modulargolems-26.1.2.0+12+dungeon.jar,26.1.2.0+12+dungeon,lcy0x1,https://github.com/Minecraft-LightLand/ModularGolems,默认采信,补充搜索（score=5，★10）,LiHe-DongHuang/ModularGolems-MassiveStorageUpgrade(5); skyjay1/Modular-Golems-1.9(5); LiHe-DongHuang/ModularGolems-AllEmbracing(4),Y,30487,modulargolems-26.1.2.0+12+dungeon.md
93,八角,anisum,anisum-neoforge-26.1.2-0.0.1+build.18.jar,0.0.1,Gugle,https://github.com/Anvil-Dev/Anisum,高,组织仓库,,Y,2056,anisum-neoforge-26.1.2-0.0.1+build.18.md
94,兰法斯：本德森之章,lanfasie_benderson,lanfasie_benderson-0.1.1.jar,0.1.1,cvrunmin,https://github.com/cvrunmin/LanfasieBenderson,高,jar 元数据声明,,Y,14432,lanfasie_benderson-0.1.1.md
95,动态的树,dynamictrees,dynamictrees-neoforge-26.1.2-1.8.0-BETA03.jar,1.8.0-BETA03,Current developer: MaxHyper. Development of treepa,https://github.com/DynamicTreesTeam/DynamicTrees,高,Modrinth（dynamictrees）,,Y,48344,dynamictrees-neoforge-26.1.2-1.8.0-BETA03.md
96,动量,momentum,momentum-1.2.10-release.jar,1.2.10-release,AkiraHane,,,候选疑似无关（保留在候选列）,Next-Flip/Momentum-Firmware(3)；Next-Flip/Momentum-Firmware(3); alpacahq/Momentum-Trading-Example(3); kieranjwood/trading-momentum-transformer(3),Y,6472,momentum-1.2.10-release.md
97,卡里普索的糖果工坊,ccw,ccw-v1.3.1-mc26.1.2.jar,1.3.1,Yuri'sCat (Calypso) and Loci_Natit,https://github.com/LNatit/CandyWorkshop,高,jar 元数据声明,,Y,5125,ccw-v1.3.1-mc26.1.2.md
98,吉星工艺（Astral Craft）,astral_craft,astral_craft-neoforge-26.1.2-1.0.0.jar,1.0.0,Glyceryl6,https://github.com/nBerryPie/AstralCraft,默认采信,补充搜索（score=5，★3）,XZelnar/AstralCraft(5); Hirvio/AstralCraft(4); mflentge/AstralCraft(4),Y,58285,astral_craft-neoforge-26.1.2-1.0.0.md
99,吾有一术：新秩序,wenyan_addon,wenyan_addon-1.0.0.jar,1.0.0,WenyanTeam,https://github.com/gyxx-xc/WenyanAddon,默认采信,候选默认采信（名称匹配，未经作者声明）,gyxx-xc/WenyanAddon(5),Y,4655,wenyan_addon-1.0.0.md
100,吾有一術,wenyan_programming,wenyan_programming-1.0.1.jar,1.0.1,"gyxx_xc, ugnjhjf",https://github.com/gyxx-xc/WenyanNature,高,jar 元数据声明,,Y,23071,wenyan_programming-1.0.1.md
101,圣脾,shengpi,shengpi-1.0.0.jar,1.0.0,秦千久,https://github.com/TT432/shengpi,默认采信,候选默认采信（名称匹配，未经作者声明）,TT432/shengpi(5),Y,703,shengpi-1.0.0.md
102,墨迹工艺,inkraft,inkraft-neoforge-2.0.0+mc26.1.2.jar,2.0.0,qyl27,https://github.com/qyl27/Inkraft,高,jar 元数据声明,,Y,5755,inkraft-neoforge-2.0.0+mc26.1.2.md
103,多彩水晶,colorful_crystals,colorful_crystals-0.0.1+build.13.jar,0.0.1,MercuryGryph,https://github.com/MercuryGryph/ColorfulCrystals,默认采信,候选默认采信（名称匹配，未经作者声明）,MercuryGryph/ColorfulCrystals(5),Y,1507,colorful_crystals-0.0.1+build.13.md
104,女仆仓管,maid_storage_manager,26.1.2-maid_storage_manager-2.0.0-neoforge+mc26.1.2.jar,2.0.0-neoforge+mc26.1.2,xypp,https://github.com/zxy19/maid_storage_manager,高,Modrinth（maid-storage-manager）,,Y,46782,26.1.2-maid_storage_manager-2.0.0-neoforge+mc26.1.2.md
105,女仆的烘焙坊,maid_bakeries,maid_bakeries-1.0.0.jar,1.0.0,,,,,,Y,2561,maid_bakeries-1.0.0.md
